[00:00:52 - 00:00:58] 色々な事をたくさん色々な事を喋らなくてはいけないのですから
[00:33:26 - 00:33:30] それ完璧主義この潔癖主義とか
[00:33:31 - 00:33:37] そんな病気を待つ簡単だから捨ててください。心の中からです
[00:33:38 - 00:33:38] から
[00:33:39 - 00:33:39] テーマ
[00:33:40 - 00:33:45] 覚えやすいように言うならば完璧になるのではなくて
[00:33:46 - 00:33:48] 精一杯すると
[00:33:49 - 00:33:50] 自分に
[00:33:50 - 00:33:52] できる範囲で
[00:33:53 - 00:33:55] とことん頑張るのだと
[00:33:58 - 00:34:13] ですから、誰かがそれはちょっと間違っているのではないかと言っても別に気にする必要ないのですよ例えば男性の場合、仕事は自分が精一杯しましたそこで上司があなたこれ、そこら辺、そこら辺ちょっとダメではないかと
[00:34:13 - 00:34:17] ただ、そこでお腹が痛くなるでしょう痛くなる必要ないのです
[00:34:18 - 00:34:27] 別に何故かと言と自分が精一杯したのだからああ、すいませんでした。まあと言えば、それで終わりますよああ、そうですかと
[00:34:29 - 00:34:31] それだけなのです
[00:34:33 - 00:34:46] そこで上司が頭のいい上司だっらその人は精一杯頑張っていのだからそれで十分だともし、その人を更に上達する可能性あるならば更に上達するようにしましょうと
[00:34:47 - 00:34:49] もしそれはギリギリだったら
[00:34:49 - 00:34:50] あ
[00:34:51 - 00:34:55] 残りの仕事は他の人に楽しくないのですよ
[00:35:00 - 00:35:02] ですから、その
[00:35:02 - 00:35:05] レベル高い諦めですかね
[00:35:05 - 00:35:08] 高度な諦めみたいなものなのね
[00:35:08 - 00:35:10] 人間は不完全であると
[00:35:18 - 00:35:21] 心、それを消えてストレス全部消えちゃったら
[00:35:25 - 00:35:26] 結構
[00:35:26 - 00:35:29] 、病気というのは消えてしまうのです
[00:35:37 - 00:35:39] で、次のポイント
[00:35:47 - 00:35:49] 次のポイントはこれです
[00:35:50 - 00:35:51] この
[00:35:53 - 00:35:54] 人生というのは
[00:35:55 - 00:35:58] どう頑張っても結構苦しいものですよ
[00:36:00 - 00:36:14] 皆様方は一生懸命、戦争終わった時から一生懸命頑張って幸福な社会作ろうと頑張ったのですねそれで経済的に世界とどんな国も追い起こしてしまったのですね
[00:36:14 - 00:36:15] それで
[00:36:16 - 00:36:17] 幸福になったのですか
[00:36:19 - 00:36:21] 物はあるのだけど
[00:36:26 - 00:36:28] 物はあることは幸福ですか
[00:36:35 - 00:36:39] 幸福になるというか我々はやっぱり
[00:36:39 - 00:36:42] すごく人生というのは大変なのですよ
[00:36:43 - 00:36:58] 戦争終わった時は当時の方々は食べ物なくて着る物がなくてもう、すごい苦労したのですねその時は、その痛みの強さによってああ、十分食べ物さえあば十分おからさえあれば
[00:36:58 - 00:37:06] 我々は大丈夫だとその時勘違いしただけであってそれで、今は十分全部あるのです
[00:37:07 - 00:37:10] 十分ではなくて、もっとあるのです
[00:37:11 - 00:37:14] それでも我々の心はもう
[00:37:14 - 00:37:19] まだ悩んでいのですよ未だに家族の中で問題あるのですよ
[00:37:21 - 00:37:23] 未だに夫婦は喧嘩するでしょう
[00:37:24 - 00:37:27] だに裁判では一生懸命、色々
[00:37:27 - 00:37:30] 裁判で戦っていし
[00:37:32 - 00:37:36] 何で幸福になたならばそういう問題あるのですかね
[00:37:38 - 00:37:42] 世界一知識量が高いと言っているのですね。日本では
[00:37:43 - 00:37:48] でも、みんな必死で狂ったような感じで勉強していのですね
[00:37:50 - 00:37:55] そんなに知識レベル高ければまあごく普通に勉強すればいいのに
[00:37:55 - 00:37:59] 何でこんなに狂っているのですかね、教育に
[00:37:59 - 00:38:01] そんなにも頭が悪いのですかと
[00:38:03 - 00:38:07] だから必死で狂ったような勉強するのは頭が悪い人なのですよ
[00:38:08 - 00:38:11] 頭が良い人は勉強しなただ一日をふさげていのです
[00:38:14 - 00:38:18] 何でふさげていることできないのですかね例えば学校に行った子供たちなんかに
[00:38:19 - 00:38:24] もし子供たちがふさげているともう先生はストレス溜まっちゃてイライラするのですね
[00:38:25 - 00:38:28] それは先生には才能は無し
[00:38:30 - 00:38:32] 簡単にそれなのですよ
[00:38:34 - 00:38:36] 僕が教えていた時は
[00:38:37 - 00:38:41] 一生懸命真面目に勉強する子はあまり可愛くなかったのです
[00:38:47 - 00:38:53] ふざけたり何とかして私を誤魔化そうとしたりとかね騙そうしている子はやっぱり可愛いのですよ
[00:38:54 - 00:38:57] だから、こっちもこの野郎何か騙
[00:38:57 - 00:39:02] そうしているのではなかと思ってこっちもやる気が出てきてもう知るのですね
[00:39:02 - 00:39:10] そこで、よくそれは全くみんなそうというわけではなくても私のちょっとした経験なのですけど
[00:39:11 - 00:39:19] 一生懸命、私の話聞いてメモを書いたりノート書いたりした学生たちが大体それほど高い点数を貰わなかったのです
[00:39:21 - 00:39:29] よくよく見ると私は言うことをただ単にそれ丸暗記してそのまま吐いているだけなのですね
[00:39:29 - 00:39:44] それで私が気持ち悪くなるのです自分が言ったことは、また繰り返し自分で聞きたくないのだから別に生徒たちに言ったことは私にとて別に面白くないでしょう私にとって面白いのはもっとレベル高い教育だから
[00:39:46 - 00:39:52] だから、彼らの答案読む時はものすごくああ、嫌だな、嫌だなと居眠りしながら
[00:39:53 - 00:39:55] ほとんど読まない
[00:39:57 - 00:39:59] で、ちょっと見て
[00:39:59 - 00:40:02] そうね、こんなものですねとか
[00:40:02 - 00:40:07] そこで、いい加減な答えを書いている学生たちいるのですよと
[00:40:08 - 00:40:10] と、すぐ気になっちゃうのですね
[00:40:11 - 00:40:14] 何だこれ、いい加減なこと書いているのですか
[00:40:14 - 00:40:15] そこで
[00:40:15 - 00:40:17] 読んでみるとやっぱり
[00:40:17 - 00:40:22] 、こいつは勉強してないのだと分かるのですよ分かるのだけど
[00:40:22 - 00:40:24] 何かどこかでも
[00:40:24 - 00:40:28] 可愛いのですよ勉強して無いのだけど
[00:40:28 - 00:40:32] 何とかしようと頑張っていのですよ本人が自分の力で
[00:40:32 - 00:40:35] そこで私は、世界
[00:40:35 - 00:40:36] に必要なのはこういうものだと
[00:40:38 - 00:40:50] 私たち言うことをよく聞く人ではなくて自分で何とかしようと頑張る人だとですから、もうポイントを入れるために何とか無いのですかと探すのですよ。一生懸命
[00:40:53 - 00:40:54] 探して何も
[00:40:55 - 00:40:57] ケチをしないで堂々と
[00:40:57 - 00:40:59] ポイント上げるのです
[00:41:03 - 00:41:04] ですから、そう
[00:41:04 - 00:41:06] いうただの例なのですだけなのですけど
[00:41:07 - 00:41:09] 頭が良
[00:41:10 - 00:41:28] 人は別にそんなに真剣に必死で勉強教育受ける必要はないのです知識レベル高い高いと言うのだけどみんなすごい強烈で教育、競争しているのですねそれは何ということなくただ単に皆様のストレスだけなのですよ
[00:41:29 - 00:41:33] 一生懸命勉強しなかったら大変だと
[00:41:34 - 00:41:40] 事実見てください勉強はしてもしなくても同じことなのですよ。みんな
[00:41:42 - 00:41:44] 結局どこかで会社としてサラ
[00:41:44 - 00:41:47] リーマンになってまってそれ人生終わるのだから
[00:41:48 - 00:41:53] かわいそうなのですね子供たは遊ばないで、すごい勉強して
[00:41:56 - 00:42:03] たまに子供たちはその自分を大人に聞くのですよ勉強したらどうなるのですかと
[00:42:03 - 00:42:08] そうすると良い子なのにその子供を連れていてカウンセラー
[00:42:08 - 00:42:09] の所に行のですよ
[00:42:12 - 00:42:15] ある日、ある子供が自殺して
[00:42:15 - 00:42:25] の文章を書いてあったのです結構古い話なのですけどその子は文章は書いてあって学校は何のためにあるのですかと
[00:42:26 - 00:42:27] 教育というのはどんな
[00:42:28 - 00:42:34] ものかと色々疑問をいっぱい書いてあってすごい綺麗な文章でしたけど
[00:42:35 - 00:42:41] そこで実際にその人のこをあまり先生もあまり気に入ってないみたいし他
[00:42:41 - 00:42:46] の生徒たちもそれほど気に入ってないみたいないい加減なこと言ってい奴だと
[00:42:47 - 00:42:48] わがままだと
[00:42:49 - 00:42:56] 僕はあの文章を読んだところでああ、もったいない子供だなと素晴らしい子供だなと思ったのですよ
[00:42:56 - 00:43:04] もし私に、ああいう子供を出会ったら僕は宝物のように育てるのですよ何故かと言と、ものすごいいい加減だから自
[00:43:05 - 00:43:07] 分言いたい放題言うのだから自
[00:43:08 - 00:43:10] 分の意見伸びるのだから
[00:43:12 - 00:43:15] ロボットじゃないのだから
[00:43:14 - 00:43:23] 本物の人間なのですそこで本物の人間、たまに出来上がっちゃどうしますかと我々はみんなその人を殺してしのです
[00:43:24 - 00:43:26] この自殺する子供たちが
[00:43:27 - 00:43:30] 自分で自殺するのではないのですよ大人が
[00:43:30 - 00:43:32] 挫折していのですよ
[00:43:33 - 00:43:36] 学校の先生たちも親もみんなだ
[00:43:39 - 00:43:43] から心は元々すごい自由なのですよ
[00:43:43 - 00:43:46] それを抑えようとしていのだからそうなっていのです
[00:43:47 - 00:43:49] 恐ろしいものなのです
[00:43:53 - 00:43:55] ですから我々は
[00:43:59 - 00:44:00] 言いたかったらちょっと
[00:44:00 - 00:44:03] ポイント外れましたけどまた戻ります
[00:44:03 - 00:44:04] この
[00:44:05 - 00:44:21] 教育は最高なレベルに行った点私たちの苦しみはそのままなのです必死で勉強しなくちゃいけないという苦しみはそのままなのです経済的な最高な最頂点に登っても必死で仕事をしなくちゃいかないと
[00:44:23 - 00:44:26] 成長率は更に更に高くしなくちゃいかないという
[00:44:27 - 00:44:29] 苦しみがそのままなのです
[00:44:31 - 00:44:36] 昔は、昔の日本人はちょっとしたことで喧嘩したのですよ米
[00:44:38 - 00:44:39] はちょっとそういうこでお
[00:44:40 - 00:44:50] 金が無かったのだから昔よく喧嘩したのは貧しかったのだからと偉そうに我々嘘を言うのだけどじゃあ、何で今喧嘩しているのですかと
[00:44:50 - 00:44:56] ということは豊かであろうが我々お互いの心の葛藤はそのままなのです
[00:44:57 - 00:45:01] 何一つも心の問題は解決してないのです
[00:45:02 - 00:45:04] 昔も今もこれからも
[00:45:06 - 00:45:07] ということは
[00:45:09 - 00:45:12] 人生というのは結局頑張っても
[00:45:12 - 00:45:14] 水も上がるのですよ
[00:45:15 - 00:45:22] みんな一生懸命頑張るのだけど結局最後に全部パワーなのです何にも結果が無いのです
[00:45:25 - 00:45:26] 虚しいのです
[00:45:29 - 00:45:44] じゃあ、子供育てに、子育てに必死になっていお母さたちが知っているでしょうにね一生懸命、命でもあげますよと思って子供を育てていのだけどまあ、十五、十四、五六になっちゃったらどうなるのです供はと
[00:45:45 - 00:45:47] 母さにぶんなくて出て行っちゃのだから
[00:45:48 - 00:45:53] それ自分が寂しくて一人でじっと待っていだけなのですよ全
[00:45:53 - 00:45:54] 然帰ってこない
[00:45:57 - 00:46:00] 結局財宝そんなものなのですよ
[00:46:04 - 00:46:12] 我々は年々病気になってくると子供も助けにならないし旦那も助けにならないしお子さんも助けにならないし
[00:46:14 - 00:46:15] もう薬も効かないし
[00:46:19 - 00:46:21] 虚しいのですね
[00:46:23 - 00:46:25] ですから人
[00:46:25 - 00:46:29] 生というのは究極的にすごく虚しいものである
[00:46:29 - 00:46:34] 苦しいものであると我々の努力は結局
[00:46:34 - 00:46:38] 無駄な方向の努力であるということをまず確認してください
[00:46:39 - 00:46:41] ポイントはこれから来るのです
[00:46:42 - 00:46:45] それ、暗い確認なのです
[00:46:46 - 00:46:49] 暗い確認だけど本当なのですそ
[00:46:49 - 00:46:52] の本当のものを確認した上で
[00:47:18 - 00:47:21] それをしっかり確認して忘な
[00:47:22 - 00:47:23] いように
[00:47:23 - 00:47:30] できれば自分の部屋やら台所やらあっちこっちトイレでもあっちこっち書いておてくださいその
[00:47:30 - 00:47:32] 暗いこの文章
[00:47:38 - 00:47:46] それは皆様のストレスと病気を治す方法として仰っていのだから試しにやってみてください
[00:47:47 - 00:47:49] 人生は結局
[00:47:49 - 00:47:52] どう頑張っても虚しいですと
[00:47:53 - 00:47:55] どんなこをしても苦しいですよと
[00:47:57 - 00:47:59] 最後は全部パーだと
[00:48:02 - 00:48:04] 、書いてみてください
[00:48:05 - 00:48:09] 一週間以内で皆様方は何か結果を得られるはずなのです
[00:48:20 - 00:48:21] それ
[00:48:21 - 00:48:26] からのポイントなのですね今皆様方は私に答えてくれたのです
[00:48:29 - 00:48:32] じゃあ皆様方は一応答えを知っていのです
[00:48:33 - 00:48:36] じゃあ、人生は結局サイドはそうだから
[00:48:37 - 00:48:39] どうすればいいのですかね今
[00:48:40 - 00:48:43] 、皆様が何をなさったのですか私の話を聞いて
[00:48:43 - 00:48:46] 何ともなく肉肉笑ったでしょう
[00:48:47 - 00:48:50] そこなのですよ別に
[00:48:51 - 00:48:54] だから結局もう
[00:48:54 - 00:48:57] アホなことだからやっていのは祖先
[00:48:58 - 00:49:04] ですから何で苦しんで酷い顔をして泣きながら悩みながらいるのですかね
[00:49:05 - 00:49:07] 何の意味も無いのですよ
[00:49:08 - 00:49:12] 必死で鬼の顔をして勉強しても結局
[00:49:13 - 00:49:15] バカになるのだから最後
[00:49:16 - 00:49:21] どれほど勉強しても年取ってしたらもうただのアホですから
[00:49:22 - 00:49:25] あの勉強は全部無駄なのです
[00:49:26 - 00:49:39] そこで我々男たちが若い時は一生懸命元気で健康的で頑張っちゃうでしょう年取ると奥さの手を繋がて歩くのです恥ずかしくてしょうがないでしょうに男の穴に奥
[00:49:40 - 00:49:53] さが小さいとは体が弱いのだけどもう80歳になってもいくらか元気なのですね僕は老夫婦を見るのですいつでも老夫婦の間では旦那さんがものすごい体が
[00:49:53 - 00:50:00] 病弱弱いのですね奥さんの方がいつでも支えて奥さんも病気でおばあちゃんなのに
[00:50:01 - 00:50:04] 年取っている自分の旦那さんは支えているのですね
[00:50:05 - 00:50:13] おかしいのではないのです世の中というのは男はすごい力強いをつくために頑張ったのに何だあの結果は
[00:50:17 - 00:50:22] ですから我々は必死でスポーツするわ勉強するわ仕事をするわ
[00:50:23 - 00:50:25] お化粧するわ色
[00:50:25 - 00:50:31] んな事をして結局にもないのだから私が言うのは楽にしなさいと
[00:50:33 - 00:50:36] そんなにストレス溜まる必要ないのだと
[00:50:36 - 00:50:41] 勉強は気楽にしてくださいと楽しくお遊びとして
[00:50:42 - 00:50:44] 遊びは最後に何もないでしょう
[00:50:45 - 00:50:47] 人生というのはゲームみたいなものだから
[00:50:48 - 00:50:52] ゲームというのはやる時は楽しいのだけど終わったらゲーム終わりゲーム
[00:50:54 - 00:51:03] 全体色々ありますね百円、二百円入れて何とかチャチャカチャカチャとゲームやっていますねそれ、もう百円切れちゃっらゲームはと
[00:51:03 - 00:51:07] それで悔しいのだけど帰らなくちゃいないのですね
[00:51:08 - 00:51:10] 人生もそんなものなのですね
[00:51:10 - 00:51:19] 女性の若い時の美しの戦いも一つのゲームなのですよそれは三十五、四十代になるまでそれを業務をやって
[00:51:20 - 00:51:23] 中年になてきたらもうゲーム終わるやめてください
[00:51:24 - 00:51:35] 我々はそうじゃなくて、また更に続く場合もありますけどそれは何にもないのです男の力強さのゲームも四十代になってくるともう、ほとんどゲームオアなのです
[00:51:37 - 00:51:46] ですからそれに何でそんなに必死で歯を噛んで鬼の顔をしてやってます
[00:51:50 - 00:51:52] すごく楽にしましょう
[00:51:54 - 00:51:57] スポーツと同じですよ全部人生は
[00:51:59 - 00:52:03] 例えば野球とか見にいらっしゃるでしょう
[00:52:03 - 00:52:06] その時っまあ一色々
[00:52:07 - 00:52:12] 叫んだり泣いたり色々応援したりして終わったら帰るでしょうにそれ
[00:52:14 - 00:52:21] だけのことだからですから仕事にしろか子育てにしろか病、教育
[00:52:22 - 00:52:23] にしろか
[00:52:25 - 00:52:26] うちの
[00:52:27 - 00:52:29] 奥さんの
[00:52:30 - 00:52:35] うちの仕事であろうかすごくリラックスしてニコニコ、のんびり
[00:52:36 - 00:52:39] という言葉ちょっとおかしいのだけどニコニコ
[00:52:39 - 00:52:41] と、やらなくてはいけないのですよ
[00:52:42 - 00:52:48] それできるなのは何も最後に意味がない場合だけなのです
[00:52:49 - 00:52:53] これ大変だ、これ大事だと思うとみんな神経になっちゃうのです
[00:52:55 - 00:53:00] でも大変だ大事だというこは何一つも世の中でないのです
[00:53:01 - 00:53:03] 全部あるのです
[00:53:05 - 00:53:06] 例えば
[00:53:06 - 00:53:07] 三菱とか
[00:53:08 - 00:53:12] 名前を挙げるのは大変失礼なのですけど大きな
[00:53:12 - 00:53:16] 会社ありますね日本では巨大な会社とかそう
[00:53:16 - 00:53:19] いうものは巨大な会社作っても
[00:53:20 - 00:53:22] 超短期でお金持っていても
[00:53:22 - 00:53:25] 死ぬ時は何にも持っていかない
[00:53:28 - 00:53:30] ただ、一縁も無し
[00:53:31 - 00:53:33] 人で死んじゃうのでしょう
[00:53:34 - 00:53:36] から、バカバカらしいじゃないのですか、結局
[00:53:37 - 00:53:40] 必死で何のために金も受けたのですかね
[00:53:40 - 00:53:43] あれ、何の役に立ったのですかね
[00:53:43 - 00:53:45] 何でもないのですですから
[00:53:46 - 00:53:57] 皆様方は、できれば住友でもいいのだけど三菱でもいのだけどトヨタでもいいのだけどそれぐらい大きな会社作れたからはどうぞ作ってくださいで
[00:53:57 - 00:54:00] も、それに命だけ欠けるなと
[00:54:00 - 00:54:03] そんなものは原であると
[00:54:03 - 00:54:05] ちょっとした
[00:54:05 - 00:54:08] 退屈だからする原なのですよ
[00:54:11 - 00:54:17] それは真実ですからそれ理解すればパッと人生明るくなるのです
[00:54:18 - 00:54:21] ですからお釈迦様は人生は苦であると
[00:54:21 - 00:54:23] 虚しいのであると
[00:54:23 - 00:54:26] おっしゃったのはそれを理解する度に
[00:54:26 - 00:54:29] 人間が幸福を見つかるのです
[00:54:30 - 00:54:35] 皆様方天国に行ってあるいは極楽道に行って幸福になると思っていでしょう
[00:54:37 - 00:54:38] だから、そこ
[00:54:38 - 00:54:40] おかしいのですよ
[00:54:40 - 00:54:44] 今、人生一生苦しんで一生バカをして
[00:54:44 - 00:54:49] 死ぬ時もバカを見るだけであって極楽にはいけません
[00:54:50 - 00:54:54] 今もダメな人はどうやって次に良くなるのですかね
[00:54:56 - 00:55:07] ですから僕は本気で言っていますよ今の人生はすごい真剣に真面目にみんなに迷惑かけてストレスばっかり溜まっている人が
[00:55:07 - 00:55:11] 死ぬ瞬間になってもものすごいストレス溜まってしまって
[00:55:11 - 00:55:13] 死にますから
[00:55:13 - 00:55:18] どうも残念ながら明るい所に行けるというこはちょっと難しいのです
[00:55:21 - 00:55:22] 今から
[00:55:23 - 00:55:26] 明るさは見つからないと捕まっていないと
[00:55:27 - 00:55:31] 今もリラックスして、のんびりああ、いつ死んでもいいのだと
[00:55:32 - 00:55:36] もう人生はゲームだから死ぬまでのゲームだと
[00:55:39 - 00:55:44] この仏教で瞑想して完璧に悟り開いた人が
[00:55:44 - 00:55:46] 阿羅と言うのです。ムダと言うのです
[00:55:47 - 00:55:49] その阿羅漢になった人は
[00:55:50 - 00:55:52] 何も欲望は無いのだと
[00:55:54 - 00:55:58] 欲望は無いのだから何のために生きているのですかと
[00:55:58 - 00:56:01] そういう質問を聞かれたこあるのですね
[00:56:02 - 00:56:12] そこで答えたのは別に目的だと言といるわけではなくてまあ、目的は何もないのだとただ、死ぬまで待っていのだと
[00:56:17 - 00:56:20] それは理想的な生き方なのですよ
[00:56:23 - 00:56:25] ちょっと死ぬま待っている
[00:56:25 - 00:56:27] それだけのことなのです
[00:56:28 - 00:56:30] ですから、何でこんな
[00:56:30 - 00:56:33] 戦争みたいな生きる戦いかと
[00:56:33 - 00:56:37] みんな戦争みたいに生るたびに戦っているのです
[00:56:38 - 00:56:41] 戦っても勝てないでしょうに
[00:56:41 - 00:56:44] 生きるたにいくら戦っても死ぬのだから
[00:56:46 - 00:56:54] だからかわいそうに何で苦しむのですかねこの短い人生で瞬間も苦しむ必要はないのです
[00:56:55 - 00:56:58] いつでも明るく明るくいることは出来るのです
[00:56:59 - 00:57:03] できるのは、ただ馬鹿みたく明るくなったらただの馬鹿ですから
[00:57:05 - 00:57:08] 知識的に明るくならなくてはいけない
[00:57:08 - 00:57:15] どうやって知識的に明るくなるかというとこの人生は結局虚しいのだから
[00:57:16 - 00:57:19] 結局、どう頑張ってもパダハラ
[00:57:22 - 00:57:24] で、明るくしましょうと
[00:57:27 - 00:57:33] 必死で仕事をしても55歳、60歳になると我々は払い箱でしょう
[00:57:35 - 00:57:44] から、この会社にいる短い間では元気で気持ち良く仲良くお互いに足を引っ張らなでお互いに嫉妬しないで
[00:57:45 - 00:57:47] 頑張ればいいのに
[00:57:48 - 00:57:54] そういうところが会社の中でものすごい弱肉強食の戦争なのですね
[00:57:56 - 00:57:58] だから自分で勝手に苦しんでいのです
[00:58:00 - 00:58:02] それで病気になるのです
[00:58:03 - 00:58:11] ですから病気を治す、体を治す二番目のポイントは全てのものは苦であることを理解して
[00:58:12 - 00:58:16] 物事に、それほど真剣に囚われないで
[00:58:16 - 00:58:23] ものすごく明るく、明るくその瞬間、その瞬間充実して生きることです
[00:58:24 - 00:58:27] 覚えておいてくださいちょっと文章は長いのだけど
[00:58:31 - 00:58:34] 人生は苦しいであることを理解して
[00:58:35 - 00:58:38] 物事に執着しないで
[00:58:39 - 00:58:41] その時、その時
[00:58:42 - 00:58:43] 明るく
[00:58:44 - 00:58:49] 充実してその瞬間、その瞬間生きることですと
[00:59:23 - 00:59:24] ですから
[00:59:25 - 00:59:29] 分かりやすくすごく引いて短くしています
[00:59:30 - 00:59:31] 今の瞬間
[00:59:34 - 00:59:37] 今の瞬間私たちに明るく
[00:59:38 - 00:59:44] ニコニコと元気でいることができればそれで満足してください
[00:59:46 - 00:59:50] 例えば病気であろうが良いのですよ今の瞬間どうですかと
[00:59:51 - 00:59:52] 今は別に、いくら
[00:59:52 - 00:59:55] か我慢できるとああ、それで十分じゃないのですかと
[01:00:00 - 01:00:05] それはものすごい行動の深い真理なのです
[01:00:05 - 01:00:08] 僕はものすごく、皆
[01:00:08 - 01:00:13] 様に仰っている頃は今も実践して喋っていのだから何かいい加減が
[01:00:14 - 01:00:18] 喋っているような感じなのですけど本当はすごい深い
[01:00:18 - 01:00:24] 宇宙の法則の心の法則の真理に基づいて今も喋っていのですよ
[01:00:25 - 01:00:40] そういう事を言ってしたら皆様方も驚くほど難しい世界かもしれませんでも、だからと言って私もそんな事はどうでもいいという事でもう、今さえ明るく皆様理解すればいいと事で簡単に喋るのです
[01:00:41 - 01:00:44] でも、今、私は言っている事は一つも
[01:00:44 - 01:00:46] 冗談ではありません
[01:00:48 - 01:00:50] 真理であることだけ
[01:00:50 - 01:00:52] 覚えておてください
[01:01:05 - 01:01:06] そこで
[01:01:07 - 01:01:10] ちょっと伝統的な仏教に戻りますけど
[01:01:12 - 01:01:15] 我々に仏教の人々に
[01:01:16 - 01:01:17] お釈迦様が
[01:01:18 - 01:01:19] 大変
[01:01:20 - 01:01:21] 、親切に
[01:01:21 - 01:01:25] よく毎日、毎朝観察するものを教えているのです
[01:01:26 - 01:01:36] 人間っいうは余計なことを考えるのだからお釈迦様はそんな余計なことを考えるなと考えたらあた方はもう信者さんのご飯食べてね、とんでもないのだと
[01:01:37 - 01:01:38] ですから
[01:01:40 - 01:01:42] こういう風に考えてくださいと
[01:01:42 - 01:01:46] その方が明るい考え方だと仰っていのです
[01:01:46 - 01:01:50] 明るい考え方だと仰っていもはどういうものかというと
[01:01:50 - 01:01:58] いつでも自分の体はすごい汚く汚いのだと臭いのだと醜いのだと
[01:02:01 - 01:02:03] ものすごい不浄だと
[01:02:04 - 01:02:06] 徹底的に実
[01:02:06 - 01:02:09] 感して観察しなさいと
[01:02:11 - 01:02:25] 皆様とちょっと違うのです僕、皆様の我々皆様というの失礼なのですけど世の中の人間考えていることとは違うんお釈迦様は言うことはお釈迦様はそういう考え方は明るいだと思っているのですそ
[01:02:27 - 01:02:29] の体は古い
[01:02:30 - 01:02:32] 便乗に例えているのです
[01:02:34 - 01:02:38] 、古いとものを使って使ってもうそれ以上使えない
[01:02:41 - 01:02:42] 、いわゆる
[01:02:42 - 01:02:44] 不浄なものでも
[01:02:44 - 01:02:46] 満杯になっているのです
[01:02:46 - 01:02:48] そういう古い
[01:02:48 - 01:02:53] 満杯になっている便乗というのはどこから見ても
[01:02:53 - 01:02:55] 汚いのですよ
[01:02:59 - 01:03:02] そういう風に自分の体を見てくださいと
[01:03:04 - 01:03:05] 観察してください
[01:03:06 - 01:03:10] 体身体からいつも出るものは全部汚いのだと
[01:03:12 - 01:03:13] それは
[01:03:13 - 01:03:15] 事実なのですね
[01:03:15 - 01:03:19] 身体から何ですかね出るものは金銀宝石
[01:03:20 - 01:03:21] お金
[01:03:22 - 01:03:24] 体から何を出るのですかね
[01:03:26 - 01:03:32] 体には金銀宝石お金やら色々な物必要ですけど体は作るものは何ですかね
[01:03:34 - 01:03:39] すごい高価な料理を体に食べさせますけど体はそれ
[01:03:39 - 01:03:42] は工場に入れちゃって何を出すのですかね
[01:03:42 - 01:03:49] だから、婦女を作る工場なのですね汗が出るわ、つぶやきわ、鼻水が出るわ
[01:03:50 - 01:03:53] どこから見ても大便、小便
[01:03:54 - 01:04:02] 何から何まで汚いのですよものすごい綺麗な服なんか一回、二回着たらもう汚くなっちゃうし
[01:04:04 - 01:04:05] すごい
[01:04:05 - 01:04:08] えらい汚いの塊なのですね
[01:04:09 - 01:04:11] ですからそれ観察してください
[01:04:13 - 01:04:15] それ一つ
[01:04:15 - 01:04:16] もう一つ
[01:04:19 - 01:04:22] 私は今は元気ですけどいつ
[01:04:22 - 01:04:25] 病気になって倒れるか分からない
[01:04:26 - 01:04:27] いつ死ぬか分からない
[01:04:29 - 01:04:30] いつ、私
[01:04:30 - 01:04:34] の持っているものは無くなるか分からないと
[01:04:36 - 01:04:39] そういう風に観察してくださいと私
[01:04:39 - 01:04:49] の好きな人々、まあ兄弟やら親戚やら子供たちやらお友達やら色々好きな人がいっぱいいるのだけどそういう好きな人々から
[01:04:50 - 01:04:52] いつ離れるか分からなのだ
[01:04:55 - 01:04:58] 私は全部捨てて行かなくてはいけないのだと
[01:04:59 - 01:05:03] この世の中でどんな偉い先生になていても
[01:05:03 - 01:05:06] 全部捨てて一人静かに
[01:05:07 - 01:05:10] 寂しく出て行かなくてはいけないのだ
[01:05:10 - 01:05:13] そういう風な事を観察してくださいと
[01:05:17 - 01:05:20] そういう色々瞑想方法なのです
[01:05:25 - 01:05:28] あるいは体の構造を観察してくださいと
[01:05:28 - 01:05:33] この私、私と威張って高慢と思っていますけど
[01:05:33 - 01:05:38] 別々に見るとものすごい汚いものだ例えば皮膚
[01:05:39 - 01:05:43] 人間の皮膚なんか抜いてみて想像してみてください例えば
[01:05:43 - 01:05:52] 鹿とか虎とかの動物の皮膚なんか抜いてみたらものすごい高価な牛乳を禁止していのですね。皮
[01:05:52 - 01:05:55] とかね。それぐらい高価なものなのです
[01:05:56 - 01:06:00] 人間の皮なんかはどうですかね皮を剥いてみたら
[01:06:02 - 01:06:05] 想像することできないと気持ち悪いのですね
[01:06:07 - 01:06:13] あ象の歯なんかは、象の歯なかはもう輸入はどこにも禁止
[01:06:13 - 01:06:16] 持っていることも禁じられていのですね国際法で
[01:06:17 - 01:06:25] でも、象さんが死んでもあの歯一本はもう何十万円もかかりますよ商売できた時でも
[01:06:28 - 01:06:31] すごい高価なのです。高価なものなのです私
[01:06:31 - 01:06:32] たちの歯
[01:06:34 - 01:06:38] 母が抜いちゃったら誰か売りに出してみてください
[01:06:38 - 01:06:40] 売れるかどうか
[01:06:44 - 01:06:55] 例えば、すごいお金払ってねものすごくみんな入れ歯なか使っていますけどこれにはもう三十万円かかったとかね四十五万円あったとか偉そうに言うのだけどその
[01:06:56 - 01:07:00] 入れ歯は売れますかね一円でも
[01:07:05 - 01:07:09] そういう風に体の部分に分けて
[01:07:09 - 01:07:11] を観察歯を観察する
