[00:00:30 - 00:10:08] 今日、テーマがいろんなことを、たくさんいろんなことをしゃべらなくちゃいけないんですから、何も前置きなしに、いきなり私のテーマに沿ってしゃべりたいと思っています。「心と病気の関係」というテーマでございますが、鈴木さんが大変優しい、簡単な話だと思っているようですけど、もし話になると、大変とんでもない難しい話になる可能性はあるんです。それを恐れていろいろ考えていましたけど、なかなか解決策を見つけられなかったんです。一応、私が思ったのは、何か病気の人々を集めて、病院みたいに治療みたいなものをしゃべるということではないんです。それよりは、この病気を治して健康な体を作る、この噂ですか、実相ですか、それを何か専門的に、プロに話してあげたかったんです。ということは、私の話を聞いて、自分で実践してみて、いくらか健康な体を作られればいい、という立場で話をしたいと思っていたんです。とにかく、よく聞いてください。何とかなるんじゃないかなと思います。特に日本で、アメリカとかそういう二つの国でも、また他の国でもその影響で、「宗教というのは何かヒーリング、ヒーリングというのは癒やすですか、そんな仕事をやっていることだ」と思っているんですね。僕らはものすごくそれをいやらしく感じるんですよ。「何とか宗教からいろいろ病気を治してくれたんだ。がんを治してくれたんだ」という、ものすごく、仏教の者はそれは「すごくいやらしい宗教だな」と思うようなものなんですね。何とかして人の病気を治したということは。ですから、それをまず覚えていてください。何とか何とかして、何とかお祈りして、何とか処分をして、その人の病気を治しましたと。そういうのは、それほど高次元的なものではないんです。なぜならば、そんなに病気を治した形跡はどこにもないんですよ。宗教であろうが、どんな何か神秘的な手柄であろうが、もしそういう神秘的な、すごい巨大な力があって人の病気を治したならば、世の中にはもう病気は全部消えているはずなんですね。ですから、宗教が一生懸命病気を治すし、でもそれを信じている人々は一生懸命病気になったりするし、キリがないんです。ですから、その方法は我々には断っているので、お釈迦様は禁じられているんです。「人の病気を治すとか、そういう行動はやめなさい」と。お釈迦様の言葉から言うならば、それは邪な生き方なんです。ですから、僕はすごく心配しながら話さなくちゃいけないんです。もっとレベル高く、高度なレベルで、この心・体・病気、そういうものはどういうものかと理解していただければ、病気を治してもらうよりもっといいことになるかもしれません。じゃあ話に入りますけど、わからないかもしれません。だけどこれは聞いて覚えておいてください。我々の体というものは、心が優るんです。心というのは魂ではないんです。何かエネルギーなんです。精神的なエネルギーなんです。この精神的なエネルギーというものが、この肉体的な体を作っているんです。それで、皆様方よく聞いていらっしゃるんですね、占いしてるんですね。手相占い、人相占いとかね。それから、書いたものを見て占ったりするとか。そういうのはもう完全に嘘ではないんだけど、結構当たるんですよ。手相なんかインチキな人ではなくて、お金ではなくて趣味でやってる人から読んでもらったら、結構当たるんです。お金取って読む人は全部嘘を言っていますけど。そこで、人相占いであろうが、他の占いであろうが、いろんな人の顔を見て、歩き方を見て、しゃべり方を見て、声を聞いて、いろいろ占ってもらうと、結構当たるんではないかなと、そういう経験皆様にあると思います。でも当たらないのは、それは商売にしている時なんです。それで食べてると当たらないんです。本人の商売だから、何とかして人の機嫌を取ろうとしてるんですね。ですから、ものすごい嘘を言うんです。趣味で、冗談で、遊びでやってる人は、人が傷つこうが泣こうがそれに構わず、言いたいものを言っちゃいますから、本当のことを言っちゃうんです。それで私は言うのは、「何で手相を見て人の性格わかりますか？　何で人相を見て人の運命やらこれから何か悪いことになる、出会うならば、そんなこと何でわかりますか？」と。それわかるのは、その体が、私の心が作っているんだから、心の状態、性格、私の生き方、体にちゃんと映してるんです。ですから、そういうのは、いくらか当たるんです。だけど、仏教ではそんなものは信じるなと。手相やら人相やら、それから星占いとか、そんなものは全部ゴミ箱にポイ捨てしなさいと。「そんな何の意味もないんだ」と。僕も結構いろんな人に僕の手を読んでもらったことがあるんです。遊びでお金払ってないんです。そこでいろいろ言うんですけど、結局言ってること、私は知ってるんです。「あなたはこういうこういうではないか、こういうこういうではないか」と。「まあそうでしょう」と。私が知ってます。そんなことは自分知ってることは、人に聞いてもらったって別に何が面白いかわからないんです。で、私はチャレンジするのは、「じゃあできれば私が知らないことを言ってください」。それは言えないんですね。手相見ても、人相見たっても。ですから、この体は心が作るものだから、我々の顔を見たら、大体わかるんですよ、どんな人間かと。で、皆様もそうでしょうね。ちょっとすごい仕事でストレス溜まっちゃうと、まあ胃やら腸やら全部もうダメになっちゃうし、もう髪の毛はすごく早く白くなってしまっちゃうし、すごく年取ってしまっちゃうし。ですから、この、例えば二十歳なのに三十代ぐらいの顔を持っていると、当然わかりますね。「この人はえらい心で悩んでるんだ」と。いろんな問題でもう悩んでるっていうこと、よくわかるんですね。例えば七十歳になったおばあちゃんであれば、すごく可愛くて、もう若々しくいるならば、ものすごい精神的にストレス何もなく、まあ元気で健康的でいるということなんですね。ですから、もし病気になりたくなければ、健康な心を作ることなんです。それで、お釈迦様は健康な心を作る方法を教えているんです。しっかりした、どんなものにも怖がらない、どんなものに対しても不満が出てこない、しっかりした心を作る方法を教えてくれるんです。それ実践すれば、もう病気なんかこれは消えていくだろうと。なぜならば、心が体を作りますから。

[00:10:08 - 00:10:17] その心がしっかりしている心であるならば、体も適当に治っていくんです。
[00:30:12 - 00:30:32] 男性の場合も、ものすごくしっかりしなくちゃとかね、もうしっかり仕事をしなくちゃとか、完璧に仕事をしなくちゃとか、完璧に勉強しなくちゃとか、そんな余計な、まあくだらん考え方、やめてほしいんです。

[00:30:32 - 00:30:42] なんでくだらん考え方と申し上げると、誰一人も完璧に仕事をしたことはないんですよ。

[00:30:42 - 00:30:50] みんなほどほどにやっているのに、なんで心の中だけすごく威張って、嘘ついているんですか、自分に。

[00:30:50 - 00:30:54] 「自分はしっかりしているんだ」と。

[00:30:54 - 00:31:05] それは嘘なんですね。ですから、まあ、正直になって、まあ、物事はほどほどでいいんだと。

[00:31:05 - 00:31:09] 完璧にはできません、と。

[00:31:10 - 00:31:21] 例えばこちらで、私はヴィパッサナー瞑想指導をしていますけど、その時でも、なかなか結果が出てこないんですね、実践する人は。

[00:31:21 - 00:31:25] なぜかというと、頭の中で、まあ「しっかりやります」と思っているんですね。

[00:31:25 - 00:31:33] 私はそれ嘘だと知っているんだけど、言ったら怒られますから言わないし、「嘘を言うな」と。

[00:31:34 - 00:31:45] だから、自分にできるだけのことを精一杯頑張ってもらえば、私はものすごい早く成長するように指導できるのに、それはなし。

[00:31:45 - 00:31:48] 正直じゃないんですね。

[00:31:48 - 00:31:53] だから、僕にも喋りたくても喋る用もなくなっちゃうんです。

[00:31:54 - 00:31:59] だから、どんな社会に浸ってもそんなもんなんです、人間は。

[00:32:00 - 00:32:03] だから、もうややこしくなりますから、覚えておいてください。

[00:32:03 - 00:32:10] もう完璧に物事をしようと思うことは、不自然であります。

[00:32:10 - 00:32:13] 非現実的であります。

[00:32:16 - 00:32:18] 不完全でいいんだと。

[00:32:22 - 00:32:25] でも、いい加減ではありませんと。

[00:32:25 - 00:32:28] それは私の精一杯だと。

[00:32:30 - 00:32:38] 世界が評価するのは、我々の精一杯の仕事であって、完全な仕事ではないんです。

[00:32:39 - 00:32:43] お母さんには完全な子育てはできません。

[00:32:44 - 00:32:46] 決して。

[00:32:47 - 00:32:53] それ、完全な子供を育てようと思ったら、結局殺人者で終わるんですよ。

[00:32:55 - 00:32:58] ですから、それはあり得ないんです。

[00:32:58 - 00:33:05] お母さんから社会が必要としているのは、「精一杯頑張ってください」と。

[00:33:05 - 00:33:12] それで子供はどうなろうが、みんな、「あのお母さんは一生懸命頑張りました」と。

[00:33:13 - 00:33:15] それは褒めるんですよ。

[00:33:15 - 00:33:20] そこで子供も、「お母さんもお母さんなりによく頑張りました」と。

[00:33:20 - 00:33:24] 「じゃあ私もいい加減なことをしてはいけないんだ」と、よくなるんです。

[00:33:25 - 00:33:32] それ、完璧主義、潔癖主義とか、そんな病気を増やす。

[00:33:32 - 00:33:36] 簡単だから捨ててください、心の中から。

[00:33:36 - 00:33:47] ですから、テーマは覚えやすいように言うならば、「完璧になる」のではなくて、「精一杯する」と。

[00:33:48 - 00:33:54] 自分にできる範囲で、とことん頑張るんだと。

[00:33:58 - 00:34:04] ですから、誰かが「それはちょっと間違っているのではないか」と言ったっても、別に気にする必要はないんですよ。

[00:34:04 - 00:34:08] 例えば、男性の場合、仕事は自分が精一杯しました。

[00:34:08 - 00:34:13] そこで上司が、「あんたこれ、そこら辺そこら辺ちょっとダメではないか」と。

[00:34:13 - 00:34:18] ただ、そこでお腹が痛くなるでしょう。痛くなる必要はないんです。

[00:34:18 - 00:34:23] なぜかというと、自分が精一杯していたんだから、「すいませんでした」。

[00:34:23 - 00:34:27] と言えば、それで終わりますよ。「そうですか」と。

[00:34:29 - 00:34:31] それだけなんです。

[00:34:33 - 00:34:40] そこで上司が、頭の良い上司だったら、「その人は精一杯頑張っているんだから、それで十分だ」と。

[00:34:40 - 00:34:46] もし、その人はさらに上達する可能性があるならば、さらに上達するようにしましょうと。

[00:34:46 - 00:34:54] もし、それはギリギリだったら、この残りの仕事は他の人に頼むしかないんですよ。

[00:35:00 - 00:35:07] ですから、そのレベル高い諦めですかね、「行動的な諦め」みたいなものなんですね。

[00:35:07 - 00:35:10] 人間は不完全であると。

[00:35:16 - 00:35:28] 心がそれを受け入れて、一切全部受け入れちゃったら、結構、病気というのは消えてしまうんです。

[00:35:28 - 00:35:38] で、次のポイント。

[00:35:47 - 00:35:49] 次のポイントはこれです。

[00:35:49 - 00:35:58] この人生というのは、どう頑張っても結構苦しいものですよ。

[00:36:00 - 00:36:08] 皆様方、一生懸命、戦争終わった時から一生懸命頑張って、幸福な社会作ろうと頑張ったんです。

[00:36:08 - 00:36:13] それで経済的に世界どんな国も追い越しちゃったんですね。

[00:36:13 - 00:36:16] それで幸福になったんですか。

[00:36:17 - 00:36:26] 物はあるんだけど、物はあることは幸福ですかね。

[00:36:32 - 00:36:40] 幸福になるどころか、我々はやっぱり人生というのは大変なんですよ。

[00:36:40 - 00:36:48] 戦争終わった時は、当時の方々は食べ物がなくて、着る物がなくて、すごい苦労してたんですね。

[00:36:48 - 00:36:57] その時は、その痛みの強さによって、「十分食べ物さえあれば、十分お金さえあれば、我々は大丈夫だ」と。

[00:36:57 - 00:37:00] その時、勘違いしただけであって。

[00:37:00 - 00:37:04] それで今は十分全部あるんです。

[00:37:04 - 00:37:07] 十分ではなくて、もっとあるんです。

[00:37:07 - 00:37:10] 十分ではなくて、もっとあるんです。

[00:37:10 - 00:37:15] それでも我々の心はまだ悩んでるんですよ。

[00:37:15 - 00:37:20] いまだに家族の中で問題あるんですよ。

[00:37:20 - 00:37:23] いまだに夫婦は喧嘩するでしょ。

[00:37:23 - 00:37:30] いまだに裁判では一生懸命、いろいろ裁判で戦ってるし。

[00:37:31 - 00:37:37] なんで幸福になったならば、そういう問題あるんですかね。

[00:37:37 - 00:37:42] 世界一知識レベルが高いと言ってるんですね、日本では。

[00:37:42 - 00:37:49] でもみんな必死で、狂ったような感じで勉強してるんですね。

[00:37:49 - 00:37:54] そんなに知識レベルが高ければ、ごく普通に勉強すればいいのに。

[00:37:54 - 00:37:58] なんでこんなに狂ってるんですかね、教育に。

[00:37:58 - 00:38:02] そんなにも頭が悪いんですかと。

[00:38:02 - 00:38:07] だから、必死で狂ったような勉強をするのは、頭が悪い人なんですよ。

[00:38:07 - 00:38:13] 頭がいい人は勉強をしない。ただ一日中ふざけてるんです。

[00:38:13 - 00:38:15] なんでふざけてることができないんですかね。

[00:38:15 - 00:38:18] 例えば学校に行った子どもたちなんか。

[00:38:18 - 00:38:24] もし子どもたちがふざけてると、もう先生は一切我慢しちゃってイライラするんです。

[00:38:24 - 00:38:29] ひどいものは、それは先生には才能はなし。

[00:38:29 - 00:38:34] 簡単にそれなんですよ。

[00:38:34 - 00:38:46] 僕が教えていたときは、一生懸命真面目に勉強する子はあんまりかわいい子じゃなかったんです。

[00:38:46 - 00:38:53] ふざけたり、なんとかして私をごまかそうとしたりとかね、だまそうとしてる子は、やっぱりかわいいんですよ。

[00:38:53 - 00:39:02] だからこっちも、この野郎なんかをだまさせてるんではないかと思って、こっちもやる気が出てきて教えるんです。

[00:39:02 - 00:39:20] それは全くみんなそうというわけではなくて、私のちょっとした経験なんですけど、一生懸命私の話聞いてメモを書いたりノート書いたりしていた学生たちが、だいたいそれほど高い点数をもらわなかったんです。

[00:39:20 - 00:39:29] よくよく見ると、私が言うことをただ単にそれ丸暗記して、そのまんま書いてるだけなんです。

[00:39:29 - 00:39:32] それで私が気持ち悪くなるんです。

[00:39:32 - 00:39:36] 自分が言ったことをまた繰り返して自分で聞きたくないんだから、ベースに。

[00:39:36 - 00:39:40] 生徒たちに言ったことは、私にとって別に面白くないでしょう。

[00:39:40 - 00:39:46] 私にとって面白いのは、もっとレベル高い教育だから。

[00:39:46 - 00:39:56] だから彼らの答案を読むときは、ものすごく嫌だな嫌だなと、居眠りしながらほとんど読まない。

[00:39:56 - 00:39:59] で、ちょっと見てやります。

[00:40:00 - 00:40:02] そうね、まあこんなもんですね、とか。

[00:40:02 - 00:40:08] そこで、いい加減な答えを書いている学生たちがいるんですよ。

[00:40:08 - 00:40:11] そこが気になっちゃうんですね。

[00:40:11 - 00:40:14] なんだこれ、いい加減なことを書いているんですか、と。

[00:40:14 - 00:40:19] そこで読んでみると、やっぱりこいつは勉強していないんだ、と。

[00:40:19 - 00:40:26] わかるんですよ。わかるんだけど、なんかどこかでもかわいいんですよ。

[00:40:26 - 00:40:33] 勉強していないんだけど、なんとかしようと頑張っているんですよ、本人が自分の力で。

[00:40:33 - 00:40:38] そこで私は、よし、世界に必要なのはこういう者だ、と。

[00:40:38 - 00:40:44] 私たちの言うことをよく聞く人ではなくて、自分でなんとかしようと頑張る人だ、と。

[00:40:44 - 00:40:53] ですから、もうポイントを入れるために、なんとかないんですか、と探すんですよ、一生懸命。

[00:40:53 - 00:40:59] 探して、何もケチをしないで堂々とポイントをあげるんです。

[00:41:03 - 00:41:15] ですから、ただの例だけなんですけど、頭がいい人は別にそんなに真剣に必死で勉強、教育を受ける必要はないんです。

[00:41:15 - 00:41:22] 知識では高い高いと言うんだけど、みんなすごい強烈さで教育を競争しているんですね。

[00:41:22 - 00:41:28] それはなんとなく、ただ単に皆様のストレスだけなんですよ。

[00:41:30 - 00:41:33] 一生懸命勉強しなかったら大変だと。

[00:41:34 - 00:41:40] 事実を見てください。勉強したって、もしなくたって同じことなんですよ、みんな。

[00:41:42 - 00:41:47] 結局どこかで会社通して、もうね、サラリーマンになっちゃって、それで人生終わるんだから。

[00:41:48 - 00:41:53] かわいそうなんですね、子どもと遊ばないで、すごい勉強して。

[00:41:56 - 00:42:02] たまに子どもたちは、その疑問ごとに聞くんですよ。勉強したら実際どうなるんですかと。

[00:42:03 - 00:42:09] そうすると、いい子なのに、その子ども連れて行って、カウンセラーのところに行くんですよ。

[00:42:10 - 00:42:17] ある日、ある子どもが自殺しちゃって、文章を書いてあったんです。結構古い話なんですけど。

[00:42:18 - 00:42:23] その子は文章を書いてあって、もう学校は何のためにあるんですかと。

[00:42:24 - 00:42:27] 教育というのはどんなものかと。

[00:42:28 - 00:42:46] いろいろ疑問いっぱい書いてあって、すごいきれいな文章でしたけど、その人のことを先生もあまり気に入っていないみたいだし、他の生徒たちもそれほど気に入っていないみたいな、いい加減なことを言っているやつだと。わがままだと。

[00:42:47 - 00:42:53] 僕はあの文章を読んだところで、ああ、もったいない子どもだなと、すばらしい子どもだなと思ったんですよ。

[00:42:54 - 00:42:58] もし私にああいう子どもと出会ったら、僕は宝物のように育てるんですよ。

[00:42:58 - 00:43:00] なぜかというと、ものすごいいい加減だから。

[00:43:01 - 00:43:03] 自分が言いたい放題を言うんだから。

[00:43:04 - 00:43:06] 自分の意見を述べるんだから。

[00:43:08 - 00:43:10] ロボットじゃないんだから。

[00:43:11 - 00:43:13] 本物の人間なんです。

[00:43:14 - 00:43:17] そこで本物の人間がたまに出来上がっちゃうと、どうしますかと。

[00:43:18 - 00:43:20] 我々はみんなその人を殺しちゃうんです。

[00:43:21 - 00:43:25] この自殺する子供たちが、自分で自殺するんです。

[00:43:25 - 00:43:29] 自殺する子供たちが、自分で自殺するんではないんですよ。

[00:43:30 - 00:43:32] 大人が刺さっているんですよ。

[00:43:33 - 00:43:36] 学校の先生たちも親もみんな。

[00:43:39 - 00:43:43] だから心はもともとすごい自由なんですよ。

[00:43:44 - 00:43:47] それを抑えようとしているんだからそうなっているんです。

[00:43:48 - 00:43:50] 恐ろしいものなんです。

[00:43:51 - 00:44:00] ですから我々は、言いたかったポイントを忘れましたけど、また戻ります。

[00:44:02 - 00:44:07] 教育は最高のレベルにいったって、私たちの苦しみはそのままなんです。

[00:44:08 - 00:44:11] 必死で勉強しなくちゃいけないという苦しみはそのままなんです。

[00:44:12 - 00:44:19] 経済的な最高の頂点に上っても、必死で仕事をしなくちゃいけないと。

[00:44:20 - 00:44:27] 成長率はさらにさらに高くしなくちゃいけないという苦しみがそのままなんです。

[00:44:29 - 00:44:33] 昔の日本人はちょっとしたことで喧嘩していたんですよ。

[00:44:34 - 00:44:39] 前はちょっとしたことで、お金がなかったんだから。

[00:44:40 - 00:44:42] 昔よく喧嘩していたのは貧乏だったんだからと。

[00:44:42 - 00:44:45] 昔よく喧嘩していたのは貧乏だったんだからと。

[00:44:46 - 00:44:50] 偉そうに我々は嘘を言うんだけど、じゃあなんで今喧嘩しているんですかと。

[00:44:51 - 00:44:56] ということは、豊かであろうが我々お互いの心の葛藤はそのままなんです。

[00:44:57 - 00:45:01] 何一つも心の問題は解決していないんです。

[00:45:02 - 00:45:04] 昔も今もこれからも。

[00:45:05 - 00:45:14] ということは、人生というのは結局頑張ったっても水の泡なんですよ。

[00:45:15 - 00:45:19] みんな一生懸命頑張るんだけど、結局最後に全部パーなんです。

[00:45:20 - 00:45:22] 何にも結果がないんです。

[00:45:24 - 00:45:26] 虚しいんです。

[00:45:27 - 00:45:33] 子育てに必死になっているお母さんたちが知っているでしょうね。

[00:45:34 - 00:45:42] 一生懸命、命でもあげますよと思って子供育てるんだけど、14、5、6になっちゃったらどうなるんですか、子供は。

[00:45:43 - 00:45:46] お母さんに文句言って出て行っちゃうんだから。

[00:45:47 - 00:45:51] それで自分が寂しくて、一人でじっと待っているだけなんですよ。

[00:45:52 - 00:45:54] 全然帰ってこない。

[00:45:54 - 00:45:56] 帰ってこない。

[00:45:58 - 00:46:01] 結局最後はそんなもんなんですよ。

[00:46:04 - 00:46:16] 我々は年々病気になってくると、子供も助けにならないし、旦那も助けにならないし、お医者さんも助けにならないし、薬も効かないし。

[00:46:19 - 00:46:22] で、虚しいんですね。

[00:46:23 - 00:46:28] ですからこの人生というのは究極的にすごく虚しいものである。

[00:46:29 - 00:46:31] 苦しいものであると。

[00:46:32 - 00:46:38] 我々の努力は結局無駄な方向の努力であるということをまず確認してください。

[00:46:39 - 00:46:41] ポイントはこれから来るんです。

[00:46:42 - 00:46:44] それは暗い確認なんです。

[00:46:45 - 00:46:48] 暗い確認だけど本当なんです。

[00:46:48 - 00:46:51] その本当のものを確認した上で。

[00:47:18 - 00:47:22] それをしっかり確認して、忘れないように。

[00:47:23 - 00:47:29] できれば自分の部屋や台所やトイレでもあっちこっち書いておいてください。

[00:47:30 - 00:47:32] もう暗いこの文章。

[00:47:38 - 00:47:46] それは皆様のストレスと病気を治す方法としておっしゃっているんだから、試しにやってみてください。

[00:47:47 - 00:47:52] 人生は結局どう頑張っても虚しいですと。

[00:47:53 - 00:47:56] どんなことをしたっても苦しいですよと。

[00:47:57 - 00:47:59] 最後は全部パーだと。

[00:48:02 - 00:48:04] って書いてみてください。

[00:48:05 - 00:48:09] 一週間以内で皆様方、何らかの結果を得られるはずなんです。

[00:48:17 - 00:48:19] まあ、どっちも。

[00:48:20 - 00:48:23] で、それからがポイントなんですね。

[00:48:24 - 00:48:27] 今皆様方は私に答えてくれたんです。

[00:48:30 - 00:48:33] じゃあ皆様方は一応答え知ってるんです。

[00:48:34 - 00:48:39] じゃあ人生は結局最後はそうだから、どうすればいいんですかね。

[00:48:40 - 00:48:43] 今皆様が何をなさったんですか。私の話を聞いて。

[00:48:44 - 00:48:46] なんとなくニコニコ笑ったでしょ。

[00:48:48 - 00:48:50] そこなんですよ、別に。

[00:48:52 - 00:48:57] だから結局もうアホなことをやっているのは祖先。

[00:48:58 - 00:49:04] ですから、なんで苦しんでひどい顔をして泣きながら悩みながらいるんですかね。

[00:49:05 - 00:49:07] 何の意味もないんですよ。

[00:49:07 - 00:49:14] 必死で鬼の顔をして勉強したっても、結局もうバカになるんだから、最後に。

[00:49:15 - 00:49:20] どれほど勉強したっても、歳とっちゃったらもうただのアホですから。

[00:49:21 - 00:49:24] あの勉強は全部無駄なんです。

[00:49:25 - 00:49:31] そこで我々男たちが若い時は一生懸命、元気で健康的で頑張っちゃうでしょ。

[00:49:32 - 00:49:35] 歳とると奥さんの手をつながって歩くんですね。

[00:49:35 - 00:49:38] 恥ずかしくてしょうがないでしょうね、男なのに。

[00:49:39 - 00:49:45] 奥さんが小さい時は体が弱いんだけど、もう80歳になってもいくらか元気なんですね。

[00:49:46 - 00:49:54] 僕はもう老夫婦を見るんです。いつでも老夫婦の間では旦那さんがものすごい体が病弱、弱いんですね。

[00:49:55 - 00:50:00] 奥さんの方がいつでも支えている。奥さんも病気でおばあちゃんなんなんで、

[00:50:00 - 00:50:06] そんなに年取っている自分の旦那さんを支えているんですね。

[00:50:06 - 00:50:09] だからおかしいんじゃないんですよ、世の中っていうのは。

[00:50:09 - 00:50:17] 男はすごい力を削ぐために頑張ったのに、なんだあの結果は。

[00:50:17 - 00:50:33] ですから我々は必死でスポーツするわ、勉強するわ、仕事をするわ、お化粧をするわ、いろんなことをして、結局何もないんだから、私が言うのは楽にしなさいと。

[00:50:33 - 00:50:37] そんなにストレスたまる必要ないんだと。

[00:50:37 - 00:50:42] 勉強は気楽にしてくださいと。楽しくお遊びとして。

[00:50:42 - 00:50:48] 遊びは最後に何もないでしょ。人生っていうのはゲームみたいなもんだから。

[00:50:48 - 00:50:54] ゲームっていうのは、やるときは楽しいんだけど、終わったらゲームオーバー、終わり。

[00:50:54 - 00:51:00] ゲームセンターいろいろありますね、100円、200円入れて、もうなんとかちゃーちゃーかちゃかちゃかとやってゲームやってますね。

[00:51:00 - 00:51:04] それもう100円切れちゃったらゲームオーバーと。

[00:51:04 - 00:51:08] それで悔しいんだけど帰らなくちゃいけないんですね。

[00:51:08 - 00:51:11] 人生はそんなもんなんですね。

[00:51:11 - 00:51:16] 女性の若いときの美しい戦いも一つのゲームなんですよ。

[00:51:16 - 00:51:24] それは35、40代になるまでそのゲームをやって、中年になってきたらもうゲームオーバー、やめてくださいと。

[00:51:24 - 00:51:29] 我々はそうじゃなくて、またさらに進む場合もありますけど、それは何にもないです。

[00:51:29 - 00:51:35] 男の力強さのゲームも40代になってくると、もうほとんどゲームオーバーなんです。

[00:51:38 - 00:51:46] ですから、それになんでそんなに必死で歯を噛んで鬼の顔をしてやってますか。

[00:51:50 - 00:51:54] すごく楽にしましょう。

[00:51:54 - 00:51:59] スポーツと同じですよ、全部人生は。

[00:51:59 - 00:52:03] 例えば野球とか見にいらっしゃるでしょ。

[00:52:03 - 00:52:12] でその時いて、負けもいろいろ叫んだり泣いたりいろいろ応援したりして、終わったら帰るでしょうね。

[00:52:14 - 00:52:16] それだけのことだから。

[00:52:16 - 00:52:42] ですから仕事にしろうか、子育てにしろうか、教育にしろうか、うちの奥さんのうちの仕事であろうか、すごくリラックスでニコニコのんびり、「のんびり」という言葉ちょっとおかしいんだけど、ニコニコとやらなくちゃいけないんですよ。

[00:52:42 - 00:52:48] それできるなのは、何も最後に意味がない場合だけなんです。

[00:52:49 - 00:52:53] これ大変だ、これ大事だと思うとみんな神経になっちゃうんです。

[00:52:55 - 00:53:00] でも大変だ大事だということは、何一つも世の中でないんです。

[00:53:01 - 00:53:03] 全部あるんです。

[00:53:04 - 00:53:15] 例えばミスビジとか、名前をあげるのは大切なんですけど、大きな会社がありますね、日本では巨大な会社とか。

[00:53:15 - 00:53:25] そういう巨大な会社作ったっても、長年お金持っていたっても、死ぬときは何にも持っていかない。

[00:53:26 - 00:53:32] ただ一円もなし人で死んじゃうんでしょ。

[00:53:32 - 00:53:36] だからバカバカらしいんじゃないんですか、結局。

[00:53:36 - 00:53:39] 必死で何のために金を集めたんですかね。

[00:53:39 - 00:53:42] あれ、何の役に立ったんですかね。

[00:53:42 - 00:53:44] 何もないんです。

[00:53:44 - 00:53:57] ですから皆様方、できればソニーでもいいんだけど、三菱でもいいんだけど、トヨタでもいいんだけど、それぐらい大きな会社つくれたらどうぞつくってください。

[00:53:57 - 00:54:00] でもそれに命だけかけるなと。

[00:54:00 - 00:54:03] そんなものはゲームであると。

[00:54:03 - 00:54:08] ちょっとした退屈だからするゲームなんですよ。

[00:54:11 - 00:54:17] それは真実ですから、それを理解すればパッと人生明るくなるんです。

[00:54:18 - 00:54:21] ですからお釈迦様は人生は苦であると、

[00:54:21 - 00:54:23] むなしいのであると、

[00:54:23 - 00:54:29] おっしゃったのは、それを理解するたびに人間が幸福を見つかるんです。

[00:54:30 - 00:54:35] 皆様方、天国に行って、あるいは極楽浄土に行って幸福になると思っているでしょう。

[00:54:37 - 00:54:40] だから、そこがおかしいんですよ。

[00:54:40 - 00:54:49] 今、人生一生苦しんで、一生バカをして、死ぬ時もバカを見るだけであって、極楽には行けません。

[00:54:51 - 00:54:55] 今もダメな人は、どうやってすぐに良くなるんですかね。

[00:54:56 - 00:54:59] ですから僕は本気で言ってますよ。

[00:54:59 - 00:55:18] 今の人生をすごい真剣に真面目に、皆に迷惑をかけて、イライラストレスばっかりして溜まっている人が、死ぬ瞬間になったって、ものすごいストレス溜まっちゃって死にますから、どうも残念ながら明るいところに行けるということはちょっと難しいんです。

[00:55:21 - 00:55:26] 今から明るさを見つからないと、つかまってないと。

[00:55:27 - 00:55:31] 今もリラックスしてのんびり、「ああ、いつ死んでもいいんだ」と。

[00:55:32 - 00:55:36] 「もう人生はゲームだから、死ぬまでのゲームだ」と。

[00:55:38 - 00:55:46] この仏教でこの瞑想をして完璧に悟り開いた人がアラハンと呼ぶんです、ブッダと呼ぶんです。

[00:55:47 - 00:55:52] そのアラハンになった人は、何も欲望はないんだと。

[00:55:53 - 00:55:57] 欲望はないんだから、何のために生きてるんですかと。

[00:55:58 - 00:56:01] そういう質問をした方があるんですね。

[00:56:02 - 00:56:09] そこで答えたのは、別に目的がいるわけじゃなくて、目的は何もないんだと。

[00:56:10 - 00:56:12] ただ死ぬまで待ってるんだと。

[00:56:17 - 00:56:20] それは理想的な生き方なんですよ。

[00:56:23 - 00:56:27] ちょっと死ぬまで待ってろ、それだけのことなんです。

[00:56:27 - 00:56:32] ですから何だ、こんな戦争みたいな生きる戦いかと。

[00:56:33 - 00:56:36] みんな戦争みたいに、生きるたびに戦ってるんです。

[00:56:38 - 00:56:40] 戦っても勝てないでしょうに。

[00:56:41 - 00:56:44] 生きるためにいくら戦っても、死ぬんだから。

[00:56:46 - 00:56:49] だからかわいそうに、なんで苦しむんですかね。

[00:56:50 - 00:56:53] この短い人生で、瞬間も苦しむ必要はないんです。

[00:56:53 - 00:56:56] 一層でも明るく明るくいることはできるんです。

[00:56:57 - 00:57:01] できるのは、ただバカみたく明るくなったらただのバカですから。

[00:57:03 - 00:57:05] 知識的に明るくならなくちゃいけない。

